Manufacturer|Model|Screen size|CPU Manufacturer|CPU Model|RAM Size|Storage size|Storage Type|System|Color
Asus|FX753VD-GC071T|17.3|Intel|Core i7 7700HQ|8|1|HDD|Windows 10|White
HP|17-BS037cl|17.3|Intel|Core i3 6006U|8|1|HDD|Windows 10|Gold
Dell|XPS 15|15.6|Intel|Core i7 7700HQ|8|256|SSD|Windows 10|Blue
Lenovo|V330-15IKB|15.6|Intel|Core i5 8250U|8|256|SSD|Windows 10|Gray
Lenovo|Legion Y720-15IKB|15.6|Intel|Core i7 7700HQ|8|1|HDD|Windows 10|White
Acer|Aspire A715-71G|15.6|Intel|Core i7 7700HQ|8|256|SSD|Linux|Gold
Dell|Precision 7720|17.3|Intel|Core i7 7820HQ|16|256|SSD|Windows 10|Gold
Lenovo|IdeaPad 310-15ABR|15.6|AMD|A10-Series 9600P|6|1|HDD|Windows 10|Silver
Asus|ZenBook UX530UQ-PRO|15.6|Intel|Core i7 7500U|16|512|SSD|Windows 10|Blue
Asus|VivoBook S14|14.0|Intel|Core i3 7100U|4|128|SSD|Windows 10|Green
Asus|Rog GL702VS-GC095T|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Green
Lenovo|IdeaPad 320-17IKB|17.3|Intel|Core i5 7200U|6|1|HDD|Windows 10|Gray
Lenovo|IdeaPad 320-15IKBN|15.6|Intel|Core i5 7200U|8|2|HDD|No OS|Green
Asus|GL553VE-FY082T|15.6|Intel|Core i7 7700HQ|8|128|SSD|Windows 10|Gray
Lenovo|IdeaPad 320-15IAP|15.6|Intel|Pentium Quad Core N4200|4|1|HDD|No OS|White
HP|EliteBook x360|13.3|Intel|Core i7 7600U|16|256|SSD|Windows 10|White
Toshiba|Satellite Pro|15.6|Intel|Core i7 6500U|8|256|SSD|Windows 10|Gray
Lenovo|IdeaPad 320-15IKB|15.6|Intel|Core i5 7200U|8|128|SSD|Windows 10|Gray
HP|250 G6|15.6|Intel|Core i3 6006U|4|1|HDD|Windows 10|Gold
Lenovo|IdeaPad 720S-13IKB|13.3|Intel|Core i5 7200U|8|256|SSD|Windows 10|Blue
Dell|XPS 13|13.3|Intel|Core i7 8550U|16|1|SSD|Windows 10|Gray
MSI|GE63VR 7RF|15.6|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|White
Acer|ES1-523-84K7|15.6|AMD|A8-Series 7410|8|256|SSD|Windows 10|Silver
Asus|VivoBook Flip|11.6|Intel|Celeron Dual Core N3350|2|32|Flash|Windows 10|White
Dell|Inspiron 5570|15.6|Intel|Core i5 8250U|8|128|SSD|Windows 10|Green
HP|Spectre x360|13.3|Intel|Core i7 8550U|16|1|SSD|Windows 10|Blue
Lenovo|ThinkPad 13|13.3|Intel|Celeron Dual Core 3855U|4|16|Flash|Chrome OS|Gold
HP|ProBook 640|14.0|Intel|Core i5 7200U|8|256|SSD|Windows 10|Green
Acer|TravelMate B|11.6|Intel|Pentium Quad Core N3710|4|128|Flash|Windows 10|Black
HP|Elitebook 840|14.0|Intel|Core i7 7500U|8|256|SSD|Windows 10|Black
Lenovo|IdeaPad 320-17IKB|17.3|Intel|Core i5 7200U|4|1|HDD|Windows 10|Gray
Asus|ZenBook UX410UA-GV183T|14.0|Intel|Core i7 7500U|8|256|SSD|Windows 10|Silver
HP|ProBook 450|15.6|Intel|Core i7 8550U|8|1|HDD|Windows 10|White
Acer|Aspire 5|15.6|AMD|A12-Series 9720P|8|256|SSD|Windows 10|Gray
Lenovo|IdeaPad 120S-14IAP|14.0|Intel|Celeron Dual Core N3350|4|32|Flash|Windows 10|White
Acer|Aspire E5-575|15.6|Intel|Core i5 7200U|6|1|HDD|Windows 10|Gray
Asus|VivoBook S15|15.6|Intel|Core i7 7500U|8|256|SSD|Windows 10|White
HP|Elitebook 820|12.5|Intel|Core i7 7500U|8|256|SSD|Windows 10|Blue
Dell|XPS 15|15.6|Intel|Core i7 7700HQ|32|1|SSD|Windows 10|Gold
MSI|GL72M 7REX|17.3|Intel|Core i7 7700HQ|8|256|SSD|Windows 10|White
Toshiba|Satellite Pro|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|Blue
Asus|UX510UX-CN269T|14.0|Intel|Core i7 7500U|8|256|SSD|Windows 10|White
Lenovo|V310-15ISK|15.6|Intel|Core i3 6006U|4|1|HDD|Windows 10|Black
Asus|FX553VD-FY647T|15.6|Intel|Core i7 7700HQ|8|256|SSD|Windows 10|Gray
HP|EliteBook 840|14.0|Intel|Core i5 7300U|8|256|SSD|Windows 10|Blue
Dell|Inspiron 7570|15.6|Intel|Core i5 8250U|8|128|SSD|Windows 10|Gray
HP|Elitebook 850|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|Silver
Asus|X541NA|15.6|Intel|Celeron Dual Core N3350|4|1|HDD|Linux|White
Dell|Inspiron 7570|15.6|Intel|Core i5 8250U|8|256|SSD|Windows 10|Black
Dell|Inspiron 3552|15.6|Intel|Celeron Dual Core N3060|4|500|HDD|Linux|White
Lenovo|IdeaPad 320-15ABR|15.6|AMD|A12-Series 9720P|12|2|HDD|Windows 10|White
HP|ProBook 450|15.6|Intel|Core i3 7100U|8|1|HDD|Windows 10|Silver
Lenovo|Yoga 920-13IKB|13.9|Intel|Core i7 8550U|16|512|SSD|Windows 10|White
Dell|XPS 13|13.3|Intel|Core i7 8550U|8|256|SSD|Windows 10|Gray
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Gold
HP|Stream 14-AX001nv|14.0|Intel|Celeron Dual Core N3060|2|32|Flash|Windows 10|Gray
Dell|Latitude 5590|15.6|Intel|Core i7 8650U|16|512|SSD|Windows 10|Gold
Asus|VivoBook Flip|11.6|Intel|Celeron Dual Core N3350|4|32|Flash|Windows 10|Gray
Dell|Inspiron 5570|15.6|Intel|Core i5 8250U|8|1|HDD|Windows 10|White
Dell|XPS 15|15.6|Intel|Core i7 7700HQ|16|512|SSD|Windows 10|Blue
HP|Elitebook 850|15.6|Intel|Core i7 7500U|8|256|SSD|Windows 10|Blue
MSI|GP72MVR 7RFX|17.3|Intel|Core i7 7700HQ|8|128|SSD|Windows 10|Green
HP|Zbook 15|15.6|Intel|Core i7 7700HQ|8|256|SSD|Windows 10|Black
Toshiba|Tecra A50-C-21G|15.6|Intel|Core i7 6500U|16|512|SSD|Windows 10|Black
Dell|Inspiron 5570|15.6|Intel|Core i7 8550U|8|128|SSD|Windows 10|Gray
Lenovo|IdeaPad 320-15IAP|15.6|Intel|Celeron Dual Core N3350|4|1|HDD|No OS|Gold
Dell|Inspiron 7577|15.6|Intel|Core i5 7300HQ|8|1|HDD|Windows 10|Green
Dell|Inspiron 3567|15.6|Intel|Core i5 7200U|8|2|HDD|Windows 10|Green
Dell|Latitude 7480|14.0|Intel|Core i5 7300U|8|256|SSD|Windows 10|Silver
HP|250 G6|15.6|Intel|Core i3 6006U|4|500|HDD|Windows 10|Black
Asus|Zenbook UX410UA-GV027T|14.0|Intel|Core i5 7200U|8|256|SSD|Windows 10|Gold
Lenovo|IdeaPad 320-17IKB|17.3|Intel|Core i5 7200U|6|128|SSD|Windows 10|Silver
HP|250 G6|15.6|Intel|Core i5 7200U|8|1|HDD|Windows 10|Gold
Lenovo|IdeaPad 320-15ISK|15.6|Intel|Core i3 6006U|8|256|SSD|No OS|Gray
HP|15-AY023na|15.6|Intel|Pentium Quad Core N3710|8|2|HDD|Windows 10|Gray
Dell|Inspiron 5770|17.3|Intel|Core i5 8250U|8|128|SSD|Windows 10|Silver
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i5 7300HQ|8|128|SSD|No OS|Green
Dell|Inspiron 5567|15.6|Intel|Core i7 7500U|8|256|SSD|Windows 10|Black
HP|Elitebook 1040|14.0|Intel|Core i7 7500U|8|256|SSD|Windows 10|Silver
Asus|ZenBook Flip|15.6|Intel|Core i7 7500U|12|512|SSD|Windows 10|Gray
Acer|Aspire 3|15.6|AMD|A9-Series 9420|4|128|SSD|Windows 10|Silver
Asus|Rog Strix|17.3|AMD|Ryzen 1700|16|256|SSD|Windows 10|Gray
Lenovo|IdeaPad 110-17ACL|17.3|AMD|A8-Series 7410|4|128|SSD|Windows 10|White
Dell|Inspiron 5379|13.3|Intel|Core i7 8550U|8|256|SSD|Windows 10|Green
HP|15-bw003nv|15.6|AMD|A9-Series 9420|4|256|SSD|Windows 10|Green
Lenovo|Yoga 11e|11.6|Intel|Celeron Quad Core N3450|4|128|SSD|Windows 10|Green
Dell|Inspiron 3552|15.6|Intel|Celeron Dual Core N3060|4|500|HDD|Windows 10|Blue
Asus|VivoBook E403NA|14.0|Intel|Celeron Dual Core N3350|4|32|Flash|Windows 10|Blue
Acer|Aspire 7|15.6|Intel|Core i7 7700HQ|8|1|HDD|Linux|Blue
HP|Omen 17-w212nv|17.3|Intel|Core i7 7700HQ|8|128|SSD|Windows 10|Blue
Lenovo|V310-15ISK|15.6|Intel|Core i3 6006U|4|128|SSD|No OS|Green
Asus|ROG Strix|15.6|Intel|Core i7 7700HQ|8|128|SSD|Windows 10|Silver
Lenovo|IdeaPad 720S-14IKB|14.0|Intel|Core i5 7200U|8|256|SSD|Windows 10|Silver
Asus|Zenbook Flip|13.3|Intel|Core i7 7500U|16|512|SSD|Windows 10|Black
Lenovo|Thinkpad X1|14.0|Intel|Core i7 7500U|8|512|SSD|Windows 10|Black
Lenovo|Ideapad 510S-13IKB|13.3|Intel|Core i3 7100U|4|128|SSD|Windows 10|Black
Dell|Precision 3510|15.6|Intel|Core i5 6440HQ|8|500|HDD|Windows 10|Blue
Dell|Precision 5520|15.6|Intel|Core i7 6820HQ|8|256|SSD|Windows 10|Gold
Lenovo|ThinkPad X1|14.0|Intel|Core i7 7500U|16|512|SSD|Windows 10|Gold
Asus|Rog GL753VD-GC042T|17.3|Intel|Core i7 7700HQ|8|1|HDD|Windows 10|White
Asus|Rog GL753VE-GC070T|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Green
Acer|Aspire 5|15.6|Intel|Core i5 8250U|12|1|HDD|Windows 10|Black
MSI|Leopard GP72M|17.3|Intel|Core i7 7700HQ|8|256|SSD|Windows 10|White
Dell|Inspiron 5567|15.6|Intel|Core i7 7500U|8|256|SSD|Linux|White
HP|15-BW004nv|15.6|AMD|A9-Series 9420|4|256|SSD|Windows 10|Black
Lenovo|ThinkPad E580|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Green
Lenovo|ThinkPad L470|14.0|Intel|Core i5 7200U|8|256|SSD|Windows 10|White
Dell|Precision M5520|15.6|Intel|Core i7 7700HQ|8|256|SSD|Windows 10|White
Lenovo|Thinkpad X1|14.0|Intel|Core i7 7500U|16|1|SSD|Windows 10|Gold
Lenovo|IdeaPad 320-15IAP|15.6|Intel|Celeron Dual Core N3350|4|1|HDD|Windows 10|Gold
Asus|FX753VD-GC461T|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Green
Lenovo|ThinkPad E580|15.6|Intel|Core i5 8250U|8|256|SSD|Windows 10|Gray
Acer|Aspire 7|15.6|Intel|Core i7 7700HQ|8|256|SSD|Linux|White
MSI|GE73VR 7RF|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Silver
Asus|Zenbook 3|14.0|Intel|Core i7 7500U|8|512|SSD|Windows 10|Gold
Toshiba|Portege Z30-C-16P|13.3|Intel|Core i7 6500U|16|512|SSD|Windows 10|White
Dell|Latitude 7480|14.0|Intel|Core i7 7600U|8|512|SSD|Windows 10|White
Lenovo|IdeaPad 320-15ISK|15.6|Intel|Core i3 6006U|4|500|HDD|Windows 10|Silver
Lenovo|Lenovo IdeaPad|11.6|Intel|Celeron Dual Core N3350|2|32|Flash|Windows 10|Silver
Lenovo|ThinkPad P51|15.6|Intel|Core i7 7700HQ|8|512|SSD|Windows 10|Gold
Lenovo|Thinkpad T470p|14.0|Intel|Core i7 7700HQ|8|512|SSD|Windows 10|White
HP|15-BS028nv|15.6|Intel|Core i3 6006U|4|1|HDD|Windows 10|Gold
Acer|Aspire R7|13.3|Intel|Core i7 6500U|8|256|SSD|Windows 10|Silver
Asus|ZenBook Flip|13.3|Intel|Core i5 7200U|8|256|SSD|Windows 10|Gold
Dell|Inspiron 3567|15.6|Intel|Core i5 7200U|4|256|SSD|Linux|White
Dell|Latitude 3380|13.3|Intel|Core i3 6006U|4|128|SSD|Windows 10|Blue
HP|EliteBook 1040|14.0|Intel|Core i7 6500U|8|256|SSD|Windows 10|Gray
Dell|Inspiron 3567|15.6|Intel|Core i5 7200U|8|1|HDD|Windows 10|Gray
Lenovo|ThinkPad E480|14.0|Intel|Core i7 8550U|8|256|SSD|Windows 10|Gray
Lenovo|Yoga 720-15IKB|15.6|Intel|Core i7 7700HQ|16|512|SSD|Windows 10|White
Chuwi|LapBook 12.3|12.3|Intel|Celeron Quad Core N3450|6|64|Flash|Windows 10|Silver
HP|ProBook 650|15.6|Intel|Core i7 7820HQ|8|256|SSD|Windows 10|Black
Asus|X542UQ-DM117|15.6|Intel|Core i3 7100U|8|1|HDD|Linux|Blue
Dell|Alienware 17|17.3|Intel|Core i7 7820HK|16|256|SSD|Windows 10|Blue
Dell|Inspiron 7577|15.6|Intel|Core i7 7700HQ|8|128|SSD|Windows 10|White
Dell|Inspiron 5570|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Green
Dell|Latitude 5480|14.0|Intel|Core i7 7600U|8|256|SSD|Linux|Silver
HP|Omen 17-w207nv|17.3|Intel|Core i7 7700HQ|12|256|SSD|Windows 10|Silver
Mediacom|FlexBook Edge|11.6|Intel|Celeron Dual Core N3350|4|32|SSD|Windows 10|Blue
Samsung|Chromebook 3|11.6|Intel|Celeron Dual Core N3060|4|16|Flash|Chrome OS|Black
Lenovo|Thinkpad 13|13.3|Intel|Core i7 7500U|8|256|SSD|Windows 10|Gold
Lenovo|IdeaPad 320s-14IKB|14.0|Intel|Core i3 7130U|4|128|SSD|Windows 10|Green
Lenovo|Thinkpad T570|15.6|Intel|Core i7 7600U|16|512|SSD|Windows 10|Gray
Lenovo|Thinkpad P51|15.6|Intel|Core i7 7820HQ|16|512|SSD|Windows 10|White
Asus|Rog Strix|17.3|AMD|Ryzen 1600|8|256|SSD|Windows 10|Green
HP|15-ra044nv|15.6|Intel|Celeron Dual Core N3060|4|500|HDD|Windows 10|Gold
Google|Pixelbook|12.3|Intel|Core i7 7Y75|16|512|SSD|Chrome OS|Silver
Lenovo|ThinkPad T470s|14.0|Intel|Core i7 7500U|24|512|SSD|Windows 10|Black
Asus|VivoBook Max|15.6|Intel|Core i5 7200U|4|256|SSD|Linux|White
Lenovo|IdeaPad 320-15AST|17.3|AMD|A6-Series 9220|8|1|HDD|Windows 10|White
Dell|Inspiron 5570|15.6|Intel|Core i5 8250U|4|256|SSD|Windows 10|Gray
Lenovo|ThinkPad X270|12.5|Intel|Core i5 7200U|8|256|SSD|Windows 10|Gray
Lenovo|IdeaPad 320-15IAP|15.6|Intel|Pentium Quad Core N4200|4|128|SSD|Windows 10|Blue
HP|Omen 15-AX205na|15.6|Intel|Core i7 7700HQ|8|128|SSD|Windows 10|Silver
Dell|Latitude 5480|14.0|Intel|Core i5 7440HQ|8|256|SSD|Windows 10|Gray
Acer|Aspire ES1-572|15.6|Intel|Core i5 7200U|4|500|HDD|Linux|Green
Dell|Precision 3520|15.6|Intel|Xeon E3-1505M V6|8|64|Flash Storage|Windows 10|Gold
MSI|GV62 7RD-1686NL|15.6|Intel|Core i5 7300HQ|8|256|SSD|Windows 10|White
Microsoft|Surface Laptop|13.5|Intel|Core i7 7660U|16|512|SSD|Windows 10 S|Green
HP|15-bs024nv|15.6|Intel|Core i5 7200U|8|128|SSD|Windows 10|Gray
Dell|Precision 3520|15.6|Intel|Core i7 6820HQ|16|256|SSD|Windows 10|Green
HP|ProBook 650|15.6|Intel|Core i7 7820HQ|8|512|SSD|Windows 10|Blue
Lenovo|ThinkPad T470|14.0|Intel|Core i5 7200U|8|256|SSD|Windows 10|Gray
Dell|Inspiron 5570|15.6|Intel|Core i7 8550U|8|128|SSD|Windows 10|Gold
Dell|Inspiron 3168|11.6|Intel|Pentium Quad Core N3710|4|500|HDD|Windows 10|Black
Dell|Alienware 17|17.3|Intel|Core i7 7700HQ|8|1|HDD|Windows 10|Black
Microsoft|Surface Laptop|13.5|Intel|Core M m3-7Y30|4|128|SSD|Windows 10 S|Silver
Microsoft|Surface Laptop|13.5|Intel|Core i7 7660U|8|256|SSD|Windows 10 S|White
HP|17-BS092ND|17.3|Intel|Core i3 6006U|8|256|SSD|Windows 10|Black
Acer|Aspire E5-576G|15.6|Intel|Core i3 6006U|4|1|HDD|Windows 10|Green
Acer|TravelMate B|11.6|Intel|Celeron Dual Core N3060|4|128|SSD|Windows 10|White
Asus|Pro P2540UA-AB51|15.6|Intel|Core i5 7200U|8|1|HDD|Windows 10|Gold
Lenovo|IdeaPad 510s-14IKB|14.0|Intel|Core i7 7500U|8|512|SSD|No OS|White
Lenovo|Thinkpad P51|15.6|Intel|Core i7 7820HQ|8|256|SSD|Windows 10|Black
Asus|X541NA-PD1003Y|15.6|Intel|Pentium Quad Core N4200|4|500|HDD|Windows 10|Silver
Acer|Aspire 5|15.6|Intel|Core i3 6006U|4|500|HDD|Windows 10|Green
Dell|Inspiron 5570|15.6|Intel|Core i5 8250U|8|2|HDD|Windows 10|White
HP|Omen 17-an006nv|17.3|Intel|Core i7 7700HQ|12|1|HDD|Windows 10|White
Lenovo|Thinkpad T460s|14.0|Intel|Core i7 6600U|12|256|SSD|Windows 10|Gray
HP|Spectre x360|13.3|Intel|Core i7 8550U|8|512|SSD|Windows 10|White
HP|ZBook 15u|15.6|Intel|Core i5 7200U|8|500|HDD|Windows 10|White
Google|Pixelbook|12.3|Intel|Core i5 7Y57|8|128|SSD|Chrome OS|Black
Dell|Latitude 7390|13.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|Black
Asus|ZenBook Pro|15.6|Intel|Core i7 6700HQ|12|128|SSD|Windows 10|Silver
Dell|Latitude E5470|14.0|Intel|Core i3 6100U|8|128|SSD|Windows 10|Gray
Dell|Precision M5520|15.6|Intel|Core i7 7700HQ|8|256|SSD|Windows 10|White
Lenovo|Thinkpad T470|14.0|Intel|Core i5 7200U|8|1|SSD|Windows 10|Black
Dell|Inspiron 3576|15.6|Intel|Core i5 8250U|8|1|HDD|Windows 10|Silver
Toshiba|Portege X30-D-10J|13.3|Intel|Core i5 7200U|8|256|SSD|Windows 10|Silver
Dell|Inspiron 7570|15.6|Intel|Core i7 8550U|8|512|SSD|Windows 10|Black
Dell|Vostro 3568|15.6|Intel|Core i3 7100U|4|1|HDD|Windows 10|Gray
HP|ProBook 430|13.3|Intel|Core i5 8250U|4|128|SSD|Windows 10|Silver
Chuwi|Lapbook 15,6|15.6|Intel|Atom x5-Z8350|4|64|Flash|Windows 10|Gold
Lenovo|ThinkPad E570|15.6|Intel|Core i3 6006U|4|128|SSD|Windows 10|Gray
Lenovo|ThinkPad E480|14.0|Intel|Core i5 8250U|8|256|SSD|Windows 10|Gold
Dell|Precision 3520|15.6|Intel|Core i7 6820HQ|16|512|SSD|Windows 10|Silver
Dell|XPS 15|15.6|Intel|Core i7 7700HQ|16|512|SSD|Windows 10|White
Lenovo|Thinkpad X270|12.5|Intel|Core i7 7500U|16|512|SSD|Windows 10|Gold
Asus|Zenbook UX390UA|12.5|Intel|Core i7 7500U|16|512|SSD|Windows 10|Gold
Lenovo|Thinkpad E570|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|Silver
Toshiba|Portege X30-D-10L|13.3|Intel|Core i7 7500U|32|512|SSD|Windows 10|Gray
Asus|VivoBook Pro|15.6|Intel|Core i7 7700HQ|8|128|SSD|Windows 10|Blue
Acer|Aspire 5|15.6|AMD|A10-Series 9620P|8|1|HDD|Windows 10|Gold
Asus|Rog G752VL-UH71T|17.3|Intel|Core i7 6700HQ|24|256|SSD|Windows 10|Black
Lenovo|Thinkpad X260|12.5|Intel|Core i5 6200U|8|1|SSD|Windows 10|Black
Lenovo|Ideapad 520-15IKBR|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|Green
HP|EliteBook 840|14.0|Intel|Core i7 7600U|8|1|SSD|Windows 10|Blue
Lenovo|ThinkPad 13|13.3|Intel|Core i3 7100U|8|256|SSD|Windows 10|White
Lenovo|ThinkPad L570|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|Black
Asus|VivoBook E201NA|11.6|Intel|Celeron Dual Core N3350|4|64|Flash|Windows 10 S|Silver
HP|15-BS026nv|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|Gold
Lenovo|Yoga 920-13IKB|13.9|Intel|Core i5 8250U|8|256|SSD|Windows 10|Gold
Lenovo|IdeaPad 320-14IAP|14.0|Intel|Celeron Dual Core N3350|4|500|HDD|Windows 10|Black
Lenovo|Chromebook N23|11.6|Intel|Celeron Dual Core N3060|4|16|SSD|Chrome OS|Green
Lenovo|ThinkPad 13|13.3|Intel|Core i5 7200U|8|256|SSD|Windows 10|Gray
Asus|ZenBook UX510UX-CN211T|15.6|Intel|Core i7 7500U|8|256|SSD|Windows 10|Silver
Acer|Aspire A515-51G-59QF|15.6|Intel|Core i5 8250U|4|1|HDD|Windows 10|Gold
HP|Envy 13-AB002nv|13.3|Intel|Core i7 7500U|8|512|SSD|Windows 10|Silver
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i7 7700HQ|8|256|SSD|No OS|Gray
Dell|XPS 13|13.3|Intel|Core i5 7200U|8|128|SSD|Windows 10|Gold
Acer|Aspire A515-51G|15.6|Intel|Core i7 7500U|4|500|HDD|Windows 10|White
Dell|Vostro 5568|15.6|Intel|Core i5 7200U|8|1|HDD|Windows 10|Green
Dell|Inspiron 5570|15.6|Intel|Core i7 8550U|16|256|SSD|Windows 10|Gold
Xiaomi|Mi Notebook|15.6|Intel|Core i7 8550U|16|256|SSD|No OS|Blue
Asus|VivoBook E12|11.6|Intel|Celeron Dual Core N3350|2|32|Flash|Windows 10|Green
HP|15-bs190od|15.6|Intel|Core i5 8250U|4|1|HDD|Windows 10|White
Asus|ROG Zephyrus|15.6|Intel|Core i7 7700HQ|24|512|SSD|Windows 10|Gold
HP|Probook 450|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|White
Asus|FX753VE-GC155T|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Blue
Lenovo|Legion Y720-15IKB|15.6|Intel|Core i7 7700HQ|8|256|SSD|Windows 10|Silver
HP|Spectre X360|13.3|Intel|Core i7 7500U|8|256|SSD|Windows 10|Silver
Dell|Latitude 5480|14.0|Intel|Core i5 7300U|8|256|SSD|Windows 10|Gold
HP|ProBook 440|15.6|Intel|Core i3 6006U|4|128|SSD|Windows 10|Gold
Dell|Inspiron 5770|17.3|Intel|Core i5 8250U|8|128|SSD|Linux|White
Lenovo|ThinkPad L470|14.0|Intel|Core i5 6200U|8|256|SSD|Windows 7|White
Lenovo|IdeaPad 320-15IKB|15.6|Intel|Core i7 7500U|4|1|HDD|Windows 10|Silver
Lenovo|IdeaPad 320-15ISK|15.6|Intel|Core i3 6006U|8|2|HDD|No OS|White
Dell|Inspiron 3567|15.6|Intel|Core i5 7200U|4|500|HDD|Windows 10|Green
Dell|Latitude 5580|15.6|Intel|Core i5 7440HQ|8|256|SSD|Windows 10|Green
Dell|Alienware 17|17.3|Intel|Core i7 7700HQ|16|128|SSD|Windows 10|Blue
Toshiba|Satellite Pro|15.6|Intel|Core i5 7200U|8|500|HDD|Windows 10|Gold
Asus|Zenbook UX510UW-FI095T|15.6|Intel|Core i7 7500U|8|256|SSD|Windows 10|White
Mediacom|SmartBook Edge|13.3|Intel|Celeron Quad Core N3450|4|32|SSD|Windows 10|Black
Asus|ROG Strix|15.6|Intel|Core i5 7300HQ|8|128|SSD|Windows 10|White
Dell|Latitude 5580|15.6|Intel|Core i7 7600U|8|256|SSD|Windows 10|Green
Dell|Inspiron 5570|15.6|Intel|Core i5 8250U|8|256|SSD|Windows 10|Silver
HP|250 G6|15.6|Intel|Pentium Quad Core N3710|4|256|SSD|Windows 10|Green
HP|Omen 15-ce006nv|17.3|Intel|Core i7 7700HQ|12|1|HDD|Windows 10|Blue
Lenovo|Thinkpad E470|14.0|Intel|Core i7 7500U|8|256|SSD|Windows 10|White
Dell|XPS 13|13.3|Intel|Core i7 8550U|8|256|SSD|Windows 10|Green
Dell|Vostro 5468|14.0|Intel|Core i3 6006U|4|128|SSD|Windows 10|Green
HP|Envy 13-AB020nr|13.3|Intel|Core i7 7500U|8|256|SSD|Windows 10|Gold
Acer|Aspire 7|15.6|Intel|Core i5 7300HQ|8|1|HDD|Linux|Green
Asus|VivoBook X540YA-XX519T|15.6|AMD|E-Series 7110|4|500|HDD|Windows 10|Blue
HP|ProBook 450|15.6|Intel|Core i3 7100U|4|128|SSD|Windows 10|Silver
Lenovo|ThinkPad E470|14.0|Intel|Core i5 7200U|4|500|HDD|Windows 10|Green
Lenovo|V310-15ISK|15.6|Intel|Core i5 6200U|4|1|HDD|No OS|Silver
HP|250 G6|15.6|Intel|Core i3 6006U|4|500|HDD|Windows 10|Black
Lenovo|ThinkPad T570|15.6|Intel|Core i7 7500U|8|512|SSD|Windows 10|Gold
Lenovo|IdeaPad 320-15ISK|15.6|Intel|Core i3 6006U|4|128|SSD|Windows 10|Black
Dell|Latitude 5580|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|Blue
Dell|Alienware 17|17.3|Intel|Core i7 7700HQ|16|256|SSD|Windows 10|Blue
HP|17-X047na|17.3|Intel|Core i3 6006U|8|1|HDD|Windows 10|Silver
HP|ProBook 470|17.3|Intel|Core i7 7500U|8|1|HDD|Windows 10|Silver
Asus|A541NA-GO342|15.6|Intel|Celeron Dual Core N3350|4|500|HDD|Linux|Blue
Mediacom|SmartBook 130|13.3|Intel|Atom x5-Z8350|4|32|Flash|Windows 10|Gold
Lenovo|IdeaPad 320-17IKB|17.3|Intel|Core i7 7500U|6|128|SSD|Windows 10|Black
HP|15-bw007nv|15.6|AMD|A10-Series A10-9620P|6|128|SSD|Windows 10|Blue
Dell|Vostro 3568|15.6|Intel|Core i3 6006U|4|1|HDD|Windows 10|Gray
Acer|Spin SP111-31|11.6|Intel|Celeron Dual Core N3350|4|32|Flash|Windows 10|White
Lenovo|V330-15IKB|15.6|Intel|Core i3 7130U|4|128|SSD|Windows 10|Gray
HP|EliteBook 1030|13.3|Intel|Core M 6Y75|16|512|SSD|Windows 10|Black
Lenovo|Thinkpad P71|17.3|Intel|Core i7 7700HQ|8|256|SSD|Windows 10|Silver
Asus|FX553VD-DM627T|15.6|Intel|Core i5 7300HQ|8|128|SSD|Windows 10|Gray
Dell|XPS 13|13.3|Intel|Core i5 8250U|8|128|SSD|Windows 10|Gold
Dell|Latitude 5580|15.6|Intel|Core i5 7300U|4|500|HDD|Windows 10|Silver
Fujitsu|Lifebook A557|15.6|Intel|Core i5 7200U|8|1|HDD|Windows 10|Blue
Lenovo|IdeaPad 320-15IAP|15.6|Intel|Pentium Quad Core N4200|4|500|HDD|Windows 10|White
Lenovo|ThinkPad L470|14.0|Intel|Core i5 7200U|4|500|HDD|Windows 10|Green
HP|ZBook 17|17.3|Intel|Core i5 7440HQ|8|500|HDD|Windows 10|Silver
HP|14-am079na|14.0|Intel|Pentium Quad Core N3710|8|2|HDD|Windows 10|Black
HP|15-cd005nv|15.6|AMD|A9-Series A9-9420|6|256|SSD|Windows 10|Silver
Lenovo|Thinkpad E570|15.6|Intel|Core i5 7200U|8|256|SSD|Windows 10|Blue
